"","input","name","org","city","region","country","orcid"
"1","Robert Gentleman","Robert Gentleman","Harvard Medical School","Boston","MA","US","0000-0003-4505-9893"
"2","Rafael Irizarry",NA,NA,NA,NA,NA,"0000-0002-3944-4309"
"3","Vincent Carey","Vincent Carey","Harvard Medical School","Boston",NA,"US","0000-0003-4046-0063"
"4","Chris Wellington",NA,NA,NA,NA,NA,NA
"5","Wolfgang Huber",NA,NA,NA,NA,NA,"0000-0002-0474-2218"
"6","Martin Morgan","Martin Morgan","Roswell Park Comprehensive Cancer Center","Buffalo","New York","US","0000-0002-5874-8148"
"7","Benjamin Neale","Benjamin M. Neale","Broad Institute","Cambridge","MA","US","0000-0003-1513-6077"
"8","Michael Schatz","Michael Schatz","Johns Hopkins University","Baltimore","MD","US","0000-0002-4118-4446"
"9","Aviv Regev",NA,NA,NA,NA,NA,"0000-0003-3293-3158"
"10","Sandrine Dudoit",NA,NA,NA,NA,NA,"0000-0002-6069-8629"
"11","John Marioni","John Marioni","EMBL-EBI","Cambridge",NA,"GB","0000-0001-9092-0852"
"12","Daniela M Witten",NA,NA,NA,NA,NA,"0000-0002-1764-1184"
"13","Barbara Engelhardt","Barbara Engelhardt","Stanford University","Stanford","California","US","0000-0002-6139-7334"
"14","Susan Holmes","Susan Holmes","Stanford University","Stanford","CA","US","0000-0002-2208-8168"
"15","Benilton Carvalho","Benilton Carvalho","Universidade Estadual de Campinas","Campinas","SP","BR","0000-0001-5122-5646"
"16","Jay Shendure","Jay Shendure","University of Washington","Seattle","Washington","US","0000-0002-1516-1865"
