input.name,org,city,region,country,orcid
Yagoub A. I. Adam,Covenant University,Ota,Ogun,NG,0000-0001-6874-2543
Benilton Carvalho,Universidade Estadual de Campinas,Campinas,SP,BR,0000-0001-5122-5646
Daniela Cassol,University of California Riverside,Riverside,CA,US,0000-0003-2417-6337
Leonardo Collado-Torres,Lieber Institute for Brain Development,Baltimore,MD,US,0000-0003-2140-308X
Aedin Culhane,Dana Farber Cancer Institute,Boston,MA,US,0000-0002-1395-9734
Xueyi Dong,Walter and Eliza Hall Institute of Medical Research,Melbourne,VIC,AU,0000-0003-1136-3117
Susan Holmes,Stanford University,Stanford,CA,US,0000-0002-2208-8168
Leo Lahti,University of Turku,Turku,NA,FI,0000-0001-5537-637X
Estefania Mancini,Centre for Genomic Regulation,Barcelona,NA,ES,0000-0002-7308-1273
Kozo Nishida,RIKEN,Suita,NA,JP,0000-0001-8501-7319
Nicole Ortogero,"Nanostring, Inc.",Seattle,WA,US,0000-0002-2647-4437
Johannes Rainer,Eurac Research,Bolzano,NA,IT,0000-0002-6977-7147
Janani Ravi,University of Colorado Anschutz Medical Campus,Aurora,Colorado,US,0000-0001-7443-925X
Matt Ritchie,Walter and Eliza Hall Institute of Medical Research,Melbourne,VIC,AU,0000-0002-7383-0609
Kevin Rue-Albrecht,University of Oxford,Oxford,Oxfordshire,GB,0000-0003-3899-3872
Lori Shepherd,Roswell Park Cancer Institute,Buffalo,NY,US,0000-0002-5910-4010
Mike Smith,EMBL,Heidelberg,NA,DE,0000-0002-7800-3848
Hedia Tnani,CNAG,Barcelona,NA,ES,0000-0002-0380-9740
