"","input.name","name","org","city","region","country","orcid"
"1","Yagoub A. I. Adam","Yagoub Adam","Covenant University","Ota","Ogun","NG","0000-0001-6874-2543"
"2","Benilton Carvalho","Benilton Carvalho","Universidade Estadual de Campinas","Campinas","SP","BR","0000-0001-5122-5646"
"3","Daniela Cassol","Daniela Cassol","University of California Riverside","Riverside","CA","US","0000-0003-2417-6337"
"4","Leonardo Collado-Torres","Leonardo Collado-Torres","Lieber Institute for Brain Development","Baltimore","MD","US","0000-0003-2140-308X"
"5","Aedin Culhane","Aedin Culhane","Dana Farber Cancer Institute","Boston","MA","US","0000-0002-1395-9734"
"6","Xueyi Dong",NA,NA,NA,NA,NA,"0000-0003-1136-3117"
"7","Susan Holmes","Susan Holmes","Stanford University","Stanford","CA","US","0000-0002-2208-8168"
"8","Leo Lahti","Leo Lahti","University of Turku","Turku",NA,"FI","0000-0001-5537-637X"
"9","Estefania Mancini",NA,NA,NA,NA,NA,"0000-0002-7308-1273"
"10","Kozo Nishida","Kozo Nishida","RIKEN","Suita",NA,"JP","0000-0001-8501-7319"
"11","Nicole Ortogero",NA,NA,NA,NA,NA,"0000-0002-2647-4437"
"12","Johannes Rainer","Johannes Rainer","Eurac Research","Bolzano",NA,"IT","0000-0002-6977-7147"
"13","Janani Ravi","Janani Ravi","University of Colorado Anschutz Medical Campus","Aurora","Colorado","US","0000-0001-7443-925X"
"14","Matt Ritchie","Matthew Ritchie","Walter and Eliza Hall Institute of Medical Research","Melbourne","VIC","AU","0000-0002-7383-0609"
"15","Kevin Rue-Albrecht","Kevin Rue-Albrecht","University of Oxford","Oxford","Oxfordshire","GB","0000-0003-3899-3872"
"16","Lori Shepherd","Lori Shepherd","Roswell Park Cancer Institute","Buffalo","NY","US","0000-0002-5910-4010"
"17","Mike Smith",NA,NA,NA,NA,NA,"0000-0002-7800-3848"
"18","Hedia Tnani",NA,NA,NA,NA,NA,"0000-0002-0380-9740"
