"","input","name","org","city","region","country","orcid"
"1","Vince Carey","Vincent Carey","Harvard Medical School","Boston",NA,"US","0000-0003-4046-0063"
"2","Levi Waldron","Levi Waldron","CUNY School of Public Health","New York","NY","US","0000-0003-2725-0694"
"3","Charlotte Soneson",NA,NA,NA,NA,NA,"0000-0003-3833-2169"
"4","Aedin Culhane","Aedin Culhane","Dana Farber Cancer Institute","Boston","MA","US","0000-0002-1395-9734"
"5","Sean Davis","Sean Davis","University of Colorado Anschutz Medical Campus","Aurora","Colorado","US","0000-0002-8991-6458"
"6","Laurent Gatto","Laurent Gatto","Université Catholique de Louvain","Louvain-la-Neuve",NA,"BE","0000-0002-1520-2268"
"7","Robert Gentleman","Robert Gentleman","Harvard Medical School","Boston","MA","US","0000-0003-4505-9893"
"8","Shila Ghazanfar","Shila Ghazanfar","Cancer Research UK Cambridge Institute","Cambridge",NA,"GB","0000-0001-7861-6997"
"9","Kasper Daniel Hansen","Kasper Daniel Hansen","Johns Hopkins University","Baltimore","MD","US","0000-0003-0086-0687"
"10","Stephanie Hicks","Stephanie Hicks","Johns Hopkins Bloomberg School of Public Health","MD","MD","US","0000-0002-7858-0231"
"11","Wolfgang Huber",NA,NA,NA,NA,NA,"0000-0002-0474-2218"
"12","Rafael Irizarry",NA,NA,NA,NA,NA,"0000-0002-3944-4309"
"13","Lori Shepherd","Lori Shepherd","Roswell Park Cancer Institute","Buffalo","NY","US","0000-0002-5910-4010"
"14","Michael Love","Michael I Love","University of North Carolina at Chapel Hill","Chapel Hill","NC","US","0000-0001-8401-0545"
"15","Davide Risso","Davide Risso","University of Padua","Padova","Veneto","IT","0000-0001-8508-5012"
